2018-04-22T19:23:45.1828864+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.1910272+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.1993600+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.2077056+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.2160256+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.2243840+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.2327040+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.2410624+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.2493696+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.2577024+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.2660352+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.2743680+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.2827264+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.2910336+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.2993792+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.3076992+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.3160448+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.3243776+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.3327104+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.3410560+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.3493760+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.3578240+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.3662336+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.3744000+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.3827200+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.3910528+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.3993728+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.4077184+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.4160384+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.4258048+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.4339840+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.4423168+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.4506624+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.4590208+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.4673536+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.4756864+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.4840064+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.4924032+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.5006720+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.5090048+01:00 BallTracking (0.1522342, 0.3207981) 
2018-04-22T19:23:45.5173376+01:00 BallTracking (0.1521776, 0.3207981) 
2018-04-22T19:23:45.5256704+01:00 BallTracking (0.1520644, 0.3207981) 
2018-04-22T19:23:45.5340672+01:00 BallTracking (0.1518946, 0.3207981) 
2018-04-22T19:23:45.5423872+01:00 BallTracking (0.1516683, 0.3207981) 
2018-04-22T19:23:45.5507456+01:00 BallTracking (0.1513853, 0.3207981) 
2018-04-22T19:23:45.5590528+01:00 BallTracking (0.1510458, 0.3207981) 
2018-04-22T19:23:45.5673984+01:00 BallTracking (0.1506497, 0.3207981) 
2018-04-22T19:23:45.5757184+01:00 BallTracking (0.150197, 0.3207416) 
2018-04-22T19:23:45.5840640+01:00 BallTracking (0.1496877, 0.3206284) 
2018-04-22T19:23:45.5924096+01:00 BallTracking (0.1491218, 0.3204586) 
2018-04-22T19:23:45.6007296+01:00 BallTracking (0.1484993, 0.3202323) 
2018-04-22T19:23:45.6090752+01:00 BallTracking (0.1478203, 0.3199493) 
2018-04-22T19:23:45.6174080+01:00 BallTracking (0.1470846, 0.3196098) 
2018-04-22T19:23:45.6257280+01:00 BallTracking (0.1462924, 0.3192137) 
2018-04-22T19:23:45.6340736+01:00 BallTracking (0.1454436, 0.318761) 
2018-04-22T19:23:45.6423936+01:00 BallTracking (0.1445381, 0.3182517) 
2018-04-22T19:23:45.6507520+01:00 BallTracking (0.1435761, 0.3176858) 
2018-04-22T19:23:45.6590720+01:00 BallTracking (0.1426141, 0.3170633) 
2018-04-22T19:23:45.6675840+01:00 BallTracking (0.1416521, 0.3164408) 
2018-04-22T19:23:45.6757504+01:00 BallTracking (0.1406901, 0.3158184) 
2018-04-22T19:23:45.6840704+01:00 BallTracking (0.1397281, 0.3151959) 
2018-04-22T19:23:45.6924032+01:00 BallTracking (0.1387661, 0.3145734) 
2018-04-22T19:23:45.7007360+01:00 BallTracking (0.1378041, 0.313951) 
2018-04-22T19:23:45.7090688+01:00 BallTracking (0.1368421, 0.3133285) 
2018-04-22T19:23:45.7174016+01:00 BallTracking (0.1358801, 0.312706) 
2018-04-22T19:23:45.7257472+01:00 BallTracking (0.1349181, 0.3120835) 
2018-04-22T19:23:45.7340800+01:00 BallTracking (0.1339561, 0.3114611) 
2018-04-22T19:23:45.7424128+01:00 BallTracking (0.1329941, 0.3108386) 
2018-04-22T19:23:45.7507456+01:00 BallTracking (0.1320321, 0.3102161) 
2018-04-22T19:23:45.7590784+01:00 BallTracking (0.1310701, 0.3095936) 
2018-04-22T19:23:45.7674112+01:00 BallTracking (0.1301081, 0.3089712) 
2018-04-22T19:23:45.7757440+01:00 BallTracking (0.1291461, 0.3083487) 
